parameter,initial_value,optimized_value
c0,3.999999999999999,4.3063520987537105
c1,-2.9999999999999987,-3.1797889929612886
c2,-2.753214718139573e-15,-0.37915717010755406
pitch,-2.0,-1.3467821671064202
t0,-10.000000000000004,-9.346782167106417
t1,14.000000000000005,14.868883472951369
t2,5.8997458245847985e-15,0.6890839929979864
