r_R,chord_baseline,twist_baseline_deg,a_baseline,alpha_baseline_deg,fnorm_baseline,chord_optimized,twist_optimized_deg,a_optimized,alpha_optimized_deg,fnorm_optimized
0.20500000000000002,3.3849999999999993,-9.130000000000003,0.5242780681344753,5.124740052162508,486.1872070353726,3.638561275122876,-7.616484467452066,0.5734873254898988,5.118222400055938,526.872949955645
0.21500000000000002,3.3549999999999995,-8.990000000000002,0.43054617745655466,7.701198499651447,675.6036392740982,3.6051709250788115,-7.464901479951961,0.47818627964979127,7.80241310291509,737.3847916253916
0.225,3.3249999999999993,-8.850000000000001,0.3836824056220144,8.67886884503071,774.0290143988179,3.571704743600726,-7.313180675653256,0.42961759160469415,8.895467876174255,847.1467663324864
0.23500000000000001,3.2949999999999995,-8.710000000000003,0.3520269309007212,9.13687795154229,842.436562363519,3.5381627306886183,-7.161322054555952,0.3964934841765876,9.457003665924617,923.7781994506058
0.245,3.2649999999999997,-8.570000000000002,0.3299282789618563,9.294050364126731,899.4607821400648,3.504544886342489,-7.009325616660047,0.3707297878741319,9.771003781670103,982.6339350833232
0.255,3.2349999999999994,-8.430000000000001,0.31369624417734465,9.282995162940887,950.5925981429996,3.4708512105623384,-6.857191361965543,0.3519002984139633,9.879146037937506,1035.6022571802582
0.265,3.204999999999999,-8.290000000000003,0.3012431368207719,9.176928115803175,997.9955289103435,3.437081703348166,-6.70491929047244,0.3424524577043896,9.739013869995741,1096.0520373565678
0.275,3.1749999999999994,-8.150000000000002,0.2913269650771986,9.017852192415258,1042.6652939922621,3.403236364699972,-6.552509402180738,0.33550585645043557,9.551211435569794,1153.9617762913244
0.28500000000000003,3.144999999999999,-8.010000000000002,0.2833122873084461,8.827068686341235,1085.5217430216478,3.3693151946177573,-6.399961697090435,0.32820482411869445,9.388104267671228,1204.78273266953
0.29500000000000004,3.114999999999999,-7.87,0.2763575295872728,8.627864966158679,1125.9264009393903,3.33531819310152,-6.2472761752015336,0.32236906921638914,9.206678150993973,1254.1933821943826
0.30500000000000005,3.084999999999999,-7.73,0.27017849578884146,8.428077393720493,1164.1636391222564,3.3012453601512624,-6.094452836514032,0.3173942772271624,9.023236063604651,1301.8355612497699
0.315,3.0549999999999993,-7.590000000000001,0.2648706476787281,8.226238317788493,1201.4060564446652,3.2670966957669827,-5.941491681027931,0.31336140841227617,8.836221097748506,1348.7785929740978
0.325,3.024999999999999,-7.450000000000001,0.25988742646744434,8.034423518673057,1236.538352426711,3.232872199948681,-5.788392708743229,0.30975849278417533,8.657148163293629,1394.2725027322044
0.335,2.9949999999999988,-7.3100000000000005,0.2554781570246151,7.847105667839003,1270.8950678163235,3.1985718726963586,-5.63515591965993,0.30637335863990905,8.490074909519546,1438.1525890390405
0.345,2.9649999999999994,-7.170000000000001,0.2515782473072501,7.665497901908995,1304.718432729113,3.1641957140100145,-5.48178131377803,0.3035096609508997,8.328312931097944,1481.678315189789
0.355,2.934999999999999,-7.030000000000001,0.24812307633435388,7.490641138667822,1338.1646724149443,3.1297437238896486,-5.32826889109753,0.30098453210276566,8.175213803516101,1524.6352216978605
0.365,2.904999999999999,-6.890000000000001,0.24504750914950865,7.323433309279283,1371.3142034809277,3.0952159023352617,-5.174618651618431,0.29857406580435264,8.03452262200473,1566.5625539080236
0.375,2.874999999999999,-6.750000000000001,0.2422755979582297,7.1648661415557955,1404.1372217568892,3.0606122493468524,-5.0208305953407315,0.2965061417929258,7.901327746700479,1608.3983688556377
0.385,2.8449999999999993,-6.61,0.23964331389607704,7.017409647081835,1436.1600710435562,3.025932764924422,-4.866904722264433,0.2947414607807026,7.775927276688405,1650.2220639602888
0.395,2.814999999999999,-6.470000000000001,0.23728094892781632,6.878076331508062,1468.108579688436,2.9911774490679703,-4.712841032389535,0.2932515987271128,7.658385071719748,1692.1167110260392
0.405,2.784999999999999,-6.33,0.2351623107689923,6.746844968719243,1500.0497740195328,2.956346301777497,-4.558639525716037,0.29200887140307075,7.548728733270352,1734.141164611111
0.41500000000000004,2.754999999999999,-6.19,0.2332650989287885,6.623618985252523,1532.0427811344516,2.9214393230530025,-4.404300202243941,0.2909841812882461,7.446991981573869,1776.3253301090133
0.42500000000000004,2.724999999999999,-6.05,0.2315701484939223,6.508248981086976,1564.1399062976113,2.886456512894486,-4.2498230619732436,0.29015672734987463,7.353063030277928,1818.7090953969418
0.43500000000000005,2.694999999999999,-5.909999999999999,0.23006084026054702,6.400549343094181,1596.3874639533492,2.8513978713019474,-4.095208104903947,0.28950826078095976,7.266790706484852,1861.3254927245139
0.445,2.664999999999999,-5.7700000000000005,0.22872263575015872,6.300310542937882,1628.8264249374843,2.8162633982753884,-3.940455331036052,0.28902100221855836,7.188022519230563,1904.1949951966258
0.455,2.6349999999999993,-5.63,0.2275427071919255,6.20730825411908,1661.4929245358833,2.7810530938148075,-3.7855647403695563,0.2885686382929502,7.118282851989406,1946.8803466498186
0.465,2.604999999999999,-5.49,0.22653894565558103,6.120875407962297,1694.5763246085842,2.7457669579202055,-3.6305363329044607,0.2882597914947957,7.05542558091949,1989.8776662308524
0.47500000000000003,2.5749999999999993,-5.35,0.22569909312851374,6.040831625407105,1728.1043045364831,2.7104049905915817,-3.475370108640766,0.288082540027087,6.999252812695294,2033.2013185937326
0.485,2.5449999999999995,-5.209999999999999,0.22498306935770604,5.967403628404391,1761.9371692010686,2.6749671918289364,-3.3200660675784723,0.2880258161962376,6.949566316990873,2076.8608504508506
0.495,2.514999999999999,-5.069999999999999,0.22438243021032667,5.9003552574316105,1796.093418470855,2.639453561632269,-3.1646242097175783,0.28807923560107185,6.906170410898611,2120.861185143769
0.505,2.484999999999999,-4.929999999999999,0.22388942293758668,5.839455782539495,1830.5881065826252,2.603864100001581,-3.0090445350580843,0.2882329544610923,6.868874062738048,2165.2027698474176
