parameter,initial_value,optimized_value
c0,4.0,4.383830362142022
c1,-2.9999999999999996,-3.394941703614734
c2,2.783897558191463e-16,-0.24217154685167672
pitch,-2.0,-1.5358661856666425
t0,-10.000000000000012,-9.535866185661849
t1,14.00000000000007,15.716724132163327
t2,-5.342820578882248e-14,0.6252899888997007
t3,-1.2005430378230645e-14,-0.4355531405977442
