r_R,chord_initial,twist_initial_deg,a_initial,aprime_initial,alpha_initial_deg,phi_initial_deg,fnorm_initial,ftan_initial,chord_optimized,twist_optimized_deg,a_optimized,aprime_optimized,alpha_optimized_deg,phi_optimized_deg,fnorm_optimized,ftan_optimized
0.2025,3.3925,-9.165000000000001,0.5754349436060369,0.15975971139293402,3.5686645748202164,12.733664574820217,383.5607844311523,81.43004381596208,3.6864241201669516,-7.867071668154855,0.6212700199057147,0.1681456656326933,3.450127837495991,11.317199505650846,411.7031520351849,76.7234943973327
0.20750000000000002,3.3775,-9.095,0.4907918662552087,0.12903677030956962,6.104975912356341,15.199975912356342,552.1385563624956,144.24927945688722,3.668952959977832,-7.787480778438835,0.5366786591967951,0.13704922903053982,6.004163895532671,13.791644673971506,597.1168759762847,140.3550021346648
0.21250000000000002,3.3625,-9.024999999999999,0.44698149975160556,0.11107519001445985,7.294226433517611,16.31922643351761,642.1987474877367,181.82637811501812,3.65146969121137,-7.707872180814869,0.4926845763661592,0.11838741616617508,7.2323541878960675,14.940226368710936,697.3324709675347,179.40945666493485
0.21750000000000003,3.3475,-8.954999999999998,0.416632077692047,0.0982006707422426,8.021948550226597,16.976948550226595,704.7300628521702,208.48461466795473,3.633974313867565,-7.628246201947815,0.46211460264383847,0.10489429419132781,8.002447936064339,15.630694138012153,767.5110795468252,207.57246670184827
0.2225,3.3325,-8.885,0.3934373271724497,0.08825673973840245,8.5020219767009,17.3870219767009,753.1736678612945,228.78541134071793,3.6164668279464176,-7.548603168502528,0.4387120220281374,0.09444482508799082,8.524220785799912,16.07282395430244,822.2932829985826,229.322946821365
0.2275,3.3175,-8.815,0.37461590297953434,0.08018931059276992,8.831431157600383,17.646431157600382,792.8708908326819,244.78433107582117,3.5989472334479276,-7.468943407143866,0.41943089255999555,0.08591816848088643,8.901642383380704,16.37058579052457,867.1014225392078,246.67370790975548
0.2325,3.3025,-8.745,0.3588217197181689,0.07344920437604727,9.058655229251562,17.80365522925156,826.7425491023515,257.66609366035243,3.5814155303720954,-7.389267244536679,0.4033270762818816,0.07881003952776684,9.171134438726373,16.560401683263052,905.7138205291413,260.82543445112645
0.23750000000000002,3.2875,-8.674999999999999,0.3458084358293065,0.06778822085918552,9.197212022457885,17.872212022457884,857.5303705087651,268.3490728571018,3.56387171871892,-7.309575007345826,0.38986044733087744,0.07274781733168624,9.355593347859296,16.66516835520512,940.4709457827356,272.3889490044969
0.2425,3.2725,-8.604999999999999,0.33481338796512544,0.06292623164913194,9.27388202047854,17.87888202047854,885.9747902276187,277.28839230307324,3.546315798488403,-7.229867022236164,0.3785086633738936,0.06754791501597605,9.474056297192107,16.70392331942827,972.6586224914378,282.09458212357225
0.2475,3.2575000000000003,-8.534999999999998,0.3253936450581064,0.058698394411551696,9.304408698874743,17.839408698874742,912.6779742722487,284.8737140955047,3.528747769680542,-7.150143615872544,0.36893324674624817,0.06307089409760672,9.539368009937611,16.689511625810155,1003.1800738471057,290.48717236777566
0.2525,3.2425,-8.464999999999998,0.3173101485613793,0.05500776152817561,9.297728561286794,17.762728561286792,938.2125113381004,291.4847956332118,3.511167632295339,-7.070405114919823,0.360621397695936,0.05914457327085304,9.568476268898085,16.638881383817907,1032.1081774946574,297.7683295479267
0.2575,3.2275,-8.394999999999998,0.3103013515101095,0.0517517787671314,9.263048511252043,17.65804851125204,962.8279276216789,297.302593481185,3.4935753863327936,-6.990651846042859,0.35367852751445006,0.05571264436624636,9.561036950362684,16.551688796405543,1060.5316053717381,304.2597263002457
0.2625,3.2125000000000004,-8.324999999999998,0.304082888638185,0.04882775944362845,9.209697409939844,17.53469740993984,986.496161547654,302.33410093827325,3.475971031792906,-6.910884135906504,0.3476073712446044,0.052651021252366766,9.53192613373869,16.442810269645193,1088.0202666153718,310.00561057832897
0.2675,3.1975000000000002,-8.254999999999997,0.2985442492288346,0.04618836460280712,9.141516753851166,17.396516753851163,1009.3953704842263,306.7131632557113,3.4583545686756754,-6.831102311175616,0.34227182762124936,0.04990065751624875,9.48597245142312,16.317074762598736,1114.753855601419,315.1241584152217
0.2725,3.1825,-8.184999999999997,0.29359311350211165,0.04379951942391701,9.061753380055025,17.246753380055022,1031.7297020795063,310.58284366534946,3.4407259969811017,-6.751306698515049,0.3375822837965577,0.04741960160864581,9.426580625864133,16.17788732437918,1140.97383341392,319.737237087298
0.2775,3.1675,-8.114999999999997,0.2891553155242737,0.041624810815459386,8.972827512452861,17.087827512452858,1053.558965390997,314.0002639910198,3.4230853167091864,-6.6714976245896604,0.3334547808295041,0.04516735689408037,9.356497101796991,16.027994726386652,1166.7392359805822,323.90120408771094
0.28250000000000003,3.1525,-8.044999999999996,0.28515628942863036,0.039636826496871655,8.877165545109824,16.92216554510982,1074.9756614093583,317.0359121838148,3.405432527859928,-6.5916754160643025,0.3298140515110157,0.04311244911702644,9.27817653612074,15.86985195218504,1192.1207273816317,327.6742995901097
0.28750000000000003,3.1375,-7.974999999999996,0.2815336792563929,0.03781293462877102,8.77673959599001,16.751739595990006,1096.059638440788,319.7501374632249,3.3877676304333266,-6.511840399603833,0.3264538715759979,0.04119955943754299,9.197359183039744,15.709199582643576,1216.870979068716,330.9262478797553
0.29250000000000004,3.1225,-7.904999999999996,0.27804850260726155,0.03611171453121628,8.677314097697002,16.582314097696997,1116.2277225734538,322.05772789228797,3.370090624429383,-6.431992901873107,0.3233800053988021,0.0394231541491737,9.114020507795932,15.546013409669039,1241.1648154852994,333.7721475618924
0.29750000000000004,3.1075,-7.8349999999999955,0.2747097047102361,0.03452392495231596,8.57876207060752,16.413762070607515,1135.6362183759206,324.01757603266844,3.352401509848097,-6.35213324953698,0.3206222429117367,0.03777997701999445,9.02747994637626,15.37961319591324,1265.179952295995,336.3282044951096
0.3025,3.0925000000000002,-7.764999999999997,0.27162450744601563,0.0330509152556001,8.47873793186649,16.243737931866487,1154.7461489424827,325.74223260410304,3.334700286689469,-6.272261769260307,0.31813630406647275,0.036256602997325145,8.939081346585274,15.211343115845581,1288.992145529774,338.6450813193859
0.3075,3.0775,-7.694999999999997,0.268767471021794,0.03168078158385217,8.377936650780427,16.072936650780424,1173.5930527817277,327.2587623726727,3.3169869549534976,-6.192378787707944,0.31590316632501325,0.03483909804398339,8.849272357074167,15.04165114478211,1312.5976656278226,340.73253251242056
